FID,Symbol,ID_2013,Account_Na,Shipping_S,geom
Tourism_2013.1,red heart,1,Howard County Welcome Center,8267 Main Street,POINT (1369187.128008819 583066.7892958884)
Tourism_2013.2,red heart,2,Maggie J. Brown Welcome Center,10221 Wincopin Circle,POINT (1353116.9454010448 564174.4473202985)
Tourism_2013.3,red heart,3,Maryland Welcome Center,At I-95 South and Rt 216,POINT (1356161.5294416326 538675.5072352951)
Tourism_2013.4,red heart,3,Maryland Welcome Center-North,At I-95 North and Rt 216,POINT (1356338.883851764 537016.3947748422)
Tourism_2013.5,black circle/white #,4,African Art Museum,11711 East Market Place,POINT (1338723.727760354 540156.6799575305)
Tourism_2013.6,black circle/white #,5,B&O Railroad Museum,3711 Maryland Ave.,POINT (1370383.8312811407 583085.227130605)
Tourism_2013.7,black circle/white #,6,Banneker Historical Park,300 Oella Ave.,POINT (1376064.7330221625 583608.8031037485)
Tourism_2013.8,red/blue border circle,7,Bollman Truss Bridge at Savage Mill,no exact address,POINT (1361948.3755662641 534746.4924563956)
Tourism_2013.9,black circle/white #,8,Columbia Archives,10227 Wincopin Circle,POINT (1352871.9855969525 563977.7770833211)
Tourism_2013.10,red/blue border circle,9,Cooksville,no exact address,POINT (1306812.5184905697 602348.9597769155)
Tourism_2013.11,red/blue border circle,10,Elkridge Furnace Inn,5745 Furnace Avenue,POINT (1396509.072418423 563378.6937870525)
Tourism_2013.12,black circle/white #,11,Ellicott City Historic District,8267 Main Street,POINT (1369566.1279446606 583072.0572486646)
Tourism_2013.13,black circle/white #,12,HC Center of African American Culture,5434 Vantage Point Road,POINT (1353215.5731835766 566477.1280115745)
Tourism_2013.14,black circle/white #,13,HC Historical Society Library,9421 Frederick Rd.,POINT (1357780.546928178 585014.4685028587)
Tourism_2013.15,black circle/white #,14,HC Historical Society Museum,8324 Court Ave.,POINT (1369400.1874322111 583271.6541260731)
Tourism_2013.16,black circle/white #,15,HC Living Farm Heritage Museum,12985 Frederick Rd.,POINT (1322296.7876840155 596714.59161875)
Tourism_2013.17,red/blue border circle,16,Historic Ellicott City (4),no exact address,POINT (1369875.7665022826 583019.6703849459)
Tourism_2013.18,black circle/white #,17,Howard County Conservancy,10520 Old Frederick Rd.,POINT (1347415.2645129615 600635.7044684852)
Tourism_2013.19,black circle/white #,18,Howard County Fair Grounds,2210 Fairgrounds Rd.,POINT (1321212.7600682953 599125.5580059808)
Tourism_2013.20,red/blue border circle,19,Oakland Manor,Vantage Point Rd.,POINT (1353208.5492465417 566566.3905447264)
Tourism_2013.21,black circle/white #,20,Robinson Nature Center,6992 Cedar Ln.,POINT (1341965.2747019622 554861.292140102)
Tourism_2013.22,red/blue border circle,21,Thomas Viaduct,no exact address,POINT (1393566.0428007983 566439.3743500119)
Tourism_2013.23,blue pentagon,22,Arundel Mills,7000 Arundel Mills Circle,POINT (1390338.54373326 543090.3443257754)
Tourism_2013.24,blue pentagon,23,Chatham Station,9210 Balitimore National Pike,POINT (1360097.86082161 587450.6039977978)
Tourism_2013.25,blue pentagon,24,Historic Ellicott City,no exact address,POINT (1368432.0547775668 583582.1706758245)
Tourism_2013.26,blue pentagon,25,Historic Savage Mill,8600 Foundry STreet,POINT (1361596.0080583463 535040.6198197323)
Tourism_2013.27,blue pentagon,25,Maple Lawn,use 8180 Maple Lawn Boulevard,POINT (1338766.7493746928 539589.497041962)
Tourism_2013.28,blue pentagon,28,Pandora at The Mall in Columbia,10300 Little Patuxent Parkway,POINT (1351893.0243727127 564206.0550369555)
Tourism_2013.29,blue pentagon,28,The Mall in Columbia,10300 Little Patuxent Parkway,POINT (1351893.0243727127 564206.0550369555)
Tourism_2013.30,blue pentagon,29,Wegman's,8855 McGaw Road,POINT (1363339.9930913046 553479.0398644415)
Tourism_2013.31,purple circle/white#,30,Horowitz Visual and Performing Arts Center,Howard Community College 10901 Little Patuxent Pkwy,POINT (1346330.358905112 563297.625847108)
Tourism_2013.32,purple circle/white#,31,Howard County Center for the Arts,8510 High Ridge Road,POINT (1367129.4071216353 592021.1383592185)
Tourism_2013.33,purple circle/white#,32,Merriweather Post Pavilion,10475 Little Patuxent Parkway,POINT (1351260.8700395715 561709.3380850903)
Tourism_2013.34,purple circle/white#,33,Rep Stage,10901 Little Patuxent Parkway,POINT (1346400.0129473747 564257.5639085448)
Tourism_2013.35,purple circle/white#,34,The Columbia Art Center,6100 Foreland Garth,POINT (1364311.3450504232 560871.1482655917)
Tourism_2013.36,purple circle/white#,35,Toby's Dinner Theatre,5900 Symphony Woods Road,POINT (1352425.0876031069 561714.8987019096)
Tourism_2013.37,red circle/white #,36,Bob's BMW,10720 Guilford Road,POINT (1368823.9319313057 534104.094881745)
Tourism_2013.38,red circle/white #,37,Clark's Elioak Farm,10500 Clarksville Pike (State Route 108),POINT (1347417.6058253064 571841.9525860256)
Tourism_2013.39,red circle/white #,38,Maryland LIVE,7000 Arundel Mills Circle,POINT (1390424.8796259805 543605.4330416684)
Tourism_2013.40,red circle/white #,39,Heavy Seas Brewery,4615 Hollins Ferry Rd. Suite b,POINT (1404263.791569 569829.8872895687)
Tourism_2013.41,red circle/white #,40,ShadowLand Laser Adventures,9179 Red Branch Road,POINT (1362589.017156656 569649.6062390062)
Tourism_2013.42,red circle/white #,41,Terrapin Adventures,8600 Foundry Street,POINT (1361596.0080583463 535040.6198197323)
Tourism_2013.43,brown circle/white #,42,Allcare of Maryland Medical Spa and Urgent Care Center,9396-D Baltimore National Pike,POINT (1358969.0556072923 586927.6133527406)
Tourism_2013.44,brown circle/white #,43,Allcare of Maryland Medical Spa and Urgent Care Center,"6955 Oakland Mills Road, Suite N",POINT (1361232.5193167902 551144.7514565084)
Tourism_2013.45,brown circle/white #,44,Alta at Regency Crest,3305 Oak West Drive,POINT (1366583.2960171713 587987.935180968)
Tourism_2013.46,brown circle/white #,45,Columbia Bank,7186 Columbia Gateway Drive,POINT (1368071.4926764418 551328.2518115453)
Tourism_2013.47,brown circle/white #,46,Howard Bank,"6011 University Blvd., Suite 370",POINT (1369447.8916712399 562238.474675053)
Tourism_2013.48,brown circle/white #,47,Howard County Economic Devolpment Authority,"6751 Columbia Gateway Dr., Suite 500",POINT (1368566.9729014456 552749.721068984)
Tourism_2013.49,brown circle/white #,48,Howard County General Hospital - Johns Hopkins Medicine,5755 Cedar Lane,POINT (1344671.5391087022 563652.6273314138)
Tourism_2013.50,brown circle/white #,49,Millennium Marketing Solutions,10900 Pump House Road,POINT (1371212.070523173 533035.5784603104)
Tourism_2013.51,brown circle/white #,50,Susquehanna Bank,8620 Snowden River Pkwy,POINT (1366259.0242573933 557734.0823873777)
Tourism_2013.52,gold/black border circle,51,AIDA Bistro & Wine Bar,6741 Columbia Gateway Drive,POINT (1368154.9019287312 552822.301751678)
Tourism_2013.53,gold/black border circle,52,Kelsey's Restaurant & Catering,8480 Baltimore National Pike,POINT (1366475.888313346 590080.4830892831)
Tourism_2013.54,gold/black border circle,53,The Elkridge Furnace Inn,5745 Furnace Avenue,POINT (1396509.072418423 563378.6937870525)
Tourism_2013.55,gold/black border circle,54,Victoria Gastro Pub,8201 Snowden River Parkway,POINT (1368976.702561815 562126.9696746239)
Tourism_2013.56,green triangle,55,Cattail Creek Country Club,3600 Cattail Creek Drive,POINT (1299951.3026636408 584826.8708512181)
Tourism_2013.57,green triangle,56,Fairway Hills Golf Club,5100 Columbia Road,POINT (1356484.9232092814 571675.7194095328)
Tourism_2013.58,green triangle,57,Hobbit's Glen Golf Club,1130 Willowbottom Drive,POINT (1340051.544523994 567416.5795899929)
Tourism_2013.59,green triangle,58,Timbers at Troy,6100 Marshalee Dr,POINT (1377212.854063326 559557.0867119784)
Tourism_2013.60,green triangle,59,Turf Valley Golf,2700 Turf Valley Road,POINT (1344805.5792404516 593490.604519729)
Tourism_2013.61,dark blue square,60,DoubleTree by Hilton Columbia,5485 Twin Knolls Road,POINT (1357152.1972275972 566668.5302957756)
Tourism_2013.62,dark blue square,61,Hampton Inn & Suites Columbia-South,7045 Minstrel Way,POINT (1355906.033731988 549624.0690884517)
Tourism_2013.63,dark blue square,62,Hilton Baltimore BWI Airport,1739 W. Nursery Road,POINT (1402833.2497262247 557038.4199568791)
Tourism_2013.64,dark blue square,63,Hilton Garden Inn,8241 Snowden River Parkway,POINT (1368780.910316967 561599.5890689199)
Tourism_2013.65,dark blue square,64,Holiday Inn Columbia,7900 Washington Boulevard,POINT (1372756.7513427658 548330.2013538138)
Tourism_2013.66,dark blue square,65,Holiday Inn Express & Suites,6064 Marshalee Drive,POINT (1375048.01813636 561430.7219160391)
Tourism_2013.67,dark blue square,66,"Homewood Suites by Hilton, Columbia",8320 Benson Drive,POINT (1368773.593715889 553880.2822675605)
Tourism_2013.68,dark blue square,67,Sheraton Columbia Town Center Hotel,10207 Wincopin Circle,POINT (1353456.143027022 564873.9143833576)
Tourism_2013.69,dark blue square,68,"Springhill Suites by Marriott, Columbia",7055 Minstrel Way,POINT (1355641.7581010498 549773.0350864003)
Tourism_2013.70,dark blue square,69,The Obladi,8060 Main Street,POINT (1370132.4328680998 583143.7599392292)
Tourism_2013.71,dark blue square,70,Turf Valley,2700 Turf Valley Road,POINT (1344805.5792404516 593490.604519729)
Tourism_2013.72,green circle/white #,71,Circle D Farm,15535 Carrs Mill Road,POINT (1298297.7508200072 598797.4816136422)
Tourism_2013.73,green circle/white #,72,Columbia Ice Rink,5876 Thunder Hill Road,POINT (1356561.0158604928 562224.7194650264)
Tourism_2013.74,green circle/white #,73,Columbia Swim Center-,10400 Cross Fox Lane,POINT (1348131.1207624355 565426.171432727)
Tourism_2013.75,green circle/white #,74,The Columbia Sports Park,5453 Harpers Farm Road,POINT (1343449.3740646287 567332.8776736603)
Tourism_2013.76,green circle/white #,75,Columbia Horse Center,10400 Gorman Road,POINT (1349182.6626693693 541466.6442145401)
